"全国 コード","全国","時間軸（年月日現在） コード","時間軸（年月日現在）","年齢各歳 コード","年齢各歳","/男女別・性比","男女計【千人】","男【千人】","女【千人】","人口性比【女性＝100】","男女計【千人】","男【千人】","女【千人】","人口性比【女性＝100】"
"00000","全国","1001","平成29年10月1日現在","01000","総数","","126706","61655","65051","94.8","124648","60676","63973","94.8"
"00000","全国","1001","平成29年10月1日現在","01001","0歳","","963","493","470","105.0","947","485","462","105.0"
"00000","全国","1001","平成29年10月1日現在","01002","1歳","","1000","514","486","105.6","985","506","479","105.6"
"00000","全国","1001","平成29年10月1日現在","01003","2歳","","960","490","470","104.3","946","483","463","104.3"
"00000","全国","1001","平成29年10月1日現在","01004","3歳","","975","499","476","104.9","960","491","468","104.9"
"00000","全国","1001","平成29年10月1日現在","01005","4歳","","1011","517","495","104.5","997","509","488","104.4"
"00000","全国","1001","平成29年10月1日現在","01006","5歳","","1017","520","497","104.7","1004","513","490","104.7"
"00000","全国","1001","平成29年10月1日現在","01007","6歳","","1045","536","510","105.1","1033","529","504","105.1"
"00000","全国","1001","平成29年10月1日現在","01008","7歳","","1049","538","511","105.3","1037","532","505","105.2"
"00000","全国","1001","平成29年10月1日現在","01009","8歳","","1060","543","517","105.1","1049","537","511","105.1"
"00000","全国","1001","平成29年10月1日現在","01010","9歳","","1080","553","527","105.0","1069","548","521","105.0"
"00000","全国","1001","平成29年10月1日現在","01011","10歳","","1072","549","523","105.1","1061","544","518","105.0"
"00000","全国","1001","平成29年10月1日現在","01012","11歳","","1065","545","520","104.8","1054","540","515","104.8"
"00000","全国","1001","平成29年10月1日現在","01013","12歳","","1067","546","521","104.9","1057","541","516","104.9"
"00000","全国","1001","平成29年10月1日現在","01014","13歳","","1105","565","540","104.6","1095","560","535","104.6"
"00000","全国","1001","平成29年10月1日現在","01015","14歳","","1124","576","548","105.2","1115","571","543","105.2"
"00000","全国","1001","平成29年10月1日現在","01016","15歳","","1158","594","565","105.1","1148","588","560","105.1"
"00000","全国","1001","平成29年10月1日現在","01017","16歳","","1174","602","572","105.3","1163","597","567","105.3"
"00000","全国","1001","平成29年10月1日現在","01018","17歳","","1202","619","583","106.2","1189","613","577","106.2"
"00000","全国","1001","平成29年10月1日現在","01019","18歳","","1212","623","590","105.6","1191","612","579","105.8"
"00000","全国","1001","平成29年10月1日現在","01020","19歳","","1248","641","607","105.5","1206","620","585","105.9"
"00000","全国","1001","平成29年10月1日現在","01021","20歳","","1248","641","607","105.6","1194","614","580","105.7"
"00000","全国","1001","平成29年10月1日現在","01022","21歳","","1239","639","600","106.5","1180","608","573","106.1"
"00000","全国","1001","平成29年10月1日現在","01023","22歳","","1260","649","611","106.1","1198","614","583","105.3"
"00000","全国","1001","平成29年10月1日現在","01024","23歳","","1254","645","609","106.1","1189","609","579","105.2"
"00000","全国","1001","平成29年10月1日現在","01025","24歳","","1226","631","596","105.9","1160","594","566","105.0"
"00000","全国","1001","平成29年10月1日現在","01026","25歳","","1234","635","599","105.9","1173","600","572","105.0"
"00000","全国","1001","平成29年10月1日現在","01027","26歳","","1225","628","597","105.3","1166","596","570","104.5"
"00000","全国","1001","平成29年10月1日現在","01028","27歳","","1245","637","608","104.7","1184","604","580","104.0"
"00000","全国","1001","平成29年10月1日現在","01029","28歳","","1273","650","623","104.4","1216","620","596","103.9"
"00000","全国","1001","平成29年10月1日現在","01030","29歳","","1314","671","642","104.6","1261","644","617","104.3"
"00000","全国","1001","平成29年10月1日現在","01031","30歳","","1349","688","661","104.1","1298","662","636","104.0"
"00000","全国","1001","平成29年10月1日現在","01032","31歳","","1372","700","672","104.2","1325","676","649","104.3"
"00000","全国","1001","平成29年10月1日現在","01033","32歳","","1426","724","702","103.2","1381","702","679","103.4"
"00000","全国","1001","平成29年10月1日現在","01034","33歳","","1472","746","726","102.8","1429","725","703","103.2"
"00000","全国","1001","平成29年10月1日現在","01035","34歳","","1493","758","736","103.0","1449","737","712","103.4"
"00000","全国","1001","平成29年10月1日現在","01036","35歳","","1496","757","738","102.6","1450","737","713","103.3"
"00000","全国","1001","平成29年10月1日現在","01037","36歳","","1512","767","745","102.9","1471","748","723","103.5"
"00000","全国","1001","平成29年10月1日現在","01038","37歳","","1577","799","778","102.8","1537","782","756","103.4"
"00000","全国","1001","平成29年10月1日現在","01039","38歳","","1618","821","797","102.9","1580","804","775","103.7"
"00000","全国","1001","平成29年10月1日現在","01040","39歳","","1681","852","829","102.7","1645","837","809","103.4"
"00000","全国","1001","平成29年10月1日現在","01041","40歳","","1726","875","851","102.9","1692","861","832","103.5"
"00000","全国","1001","平成29年10月1日現在","01042","41歳","","1809","917","892","102.8","1776","903","873","103.5"
"00000","全国","1001","平成29年10月1日現在","01043","42歳","","1889","957","932","102.7","1857","944","913","103.3"
"00000","全国","1001","平成29年10月1日現在","01044","43歳","","1992","1011","982","102.9","1961","997","963","103.6"
"00000","全国","1001","平成29年10月1日現在","01045","44歳","","2027","1024","1002","102.2","1995","1011","983","102.8"
"00000","全国","1001","平成29年10月1日現在","01046","45歳","","1990","1008","982","102.6","1957","995","962","103.4"
"00000","全国","1001","平成29年10月1日現在","01047","46歳","","1936","978","958","102.2","1904","966","938","103.0"
"00000","全国","1001","平成29年10月1日現在","01048","47歳","","1877","949","929","102.1","1845","936","909","103.0"
"00000","全国","1001","平成29年10月1日現在","01049","48歳","","1848","932","916","101.8","1817","920","897","102.6"
"00000","全国","1001","平成29年10月1日現在","01050","49歳","","1806","910","896","101.6","1776","899","877","102.5"
"00000","全国","1001","平成29年10月1日現在","01051","50歳","","1801","908","893","101.6","1775","897","877","102.3"
"00000","全国","1001","平成29年10月1日現在","01052","51歳","","1408","707","701","100.8","1383","697","686","101.6"
"00000","全国","1001","平成29年10月1日現在","01053","52歳","","1737","873","864","101.0","1711","862","849","101.6"
"00000","全国","1001","平成29年10月1日現在","01054","53歳","","1626","817","809","100.9","1601","807","795","101.5"
"00000","全国","1001","平成29年10月1日現在","01055","54歳","","1584","794","790","100.6","1560","784","775","101.2"
"00000","全国","1001","平成29年10月1日現在","01056","55歳","","1531","766","764","100.3","1510","758","752","100.8"
"00000","全国","1001","平成29年10月1日現在","01057","56歳","","1506","753","753","100.0","1487","745","742","100.5"
"00000","全国","1001","平成29年10月1日現在","01058","57歳","","1515","755","760","99.4","1497","748","749","99.8"
"00000","全国","1001","平成29年10月1日現在","01059","58歳","","1542","768","774","99.2","1526","761","765","99.5"
"00000","全国","1001","平成29年10月1日現在","01060","59歳","","1499","744","755","98.5","1483","737","746","98.8"
"00000","全国","1001","平成29年10月1日現在","01061","60歳","","1456","721","734","98.2","1441","715","726","98.5"
"00000","全国","1001","平成29年10月1日現在","01062","61歳","","1528","755","773","97.8","1514","749","764","98.0"
"00000","全国","1001","平成29年10月1日現在","01063","62歳","","1577","779","798","97.6","1563","773","791","97.8"
"00000","全国","1001","平成29年10月1日現在","01064","63歳","","1574","774","799","96.9","1561","769","792","97.0"
"00000","全国","1001","平成29年10月1日現在","01065","64歳","","1670","817","853","95.8","1658","812","846","95.9"
"00000","全国","1001","平成29年10月1日現在","01066","65歳","","1763","860","903","95.2","1751","854","897","95.3"
"00000","全国","1001","平成29年10月1日現在","01067","66歳","","1860","904","955","94.7","1849","899","950","94.7"
"00000","全国","1001","平成29年10月1日現在","01068","67歳","","1989","963","1027","93.7","1979","957","1021","93.7"
"00000","全国","1001","平成29年10月1日現在","01069","68歳","","2170","1046","1124","93.0","2160","1041","1119","93.0"
