"表章項目 コード","表章項目","男女別 コード","男女別","全国・都道府県 コード","全国・都道府県","/人口及び人口増減","人口","注釈","自然増減","注釈","社会増減","注釈","国籍の異動による純増減","注釈","増減の計","注釈","人口","注釈","自然増減","注釈","社会増減","注釈","国籍の異動による純増減","注釈","増減の計","注釈","人口","注釈","自然増減","注釈","社会増減","注釈","国籍の異動による純増減","注釈","増減の計","注釈","人口","注釈","自然増減","注釈","社会増減","注釈","国籍の異動による純増減","注釈","増減の計","注釈","人口","注釈","自然増減","注釈","社会増減","注釈","国籍の異動による純増減","注釈","増減の計","注釈","人口","注釈","自然増減","注釈","社会増減","注釈","国籍の異動による純増減","注釈","増減の計","注釈"
"008","人口【人】","000","男女計","00000","全国","","126932772","","***","","***","","***","","***","","***","","-377289","","150727","","***","","-226562","","126706210","","***","","***","","***","","***","","125020252","","***","","***","","***","","***","","***","","-387092","","4226","","11085","","-371781","","124648471","","***","","***","","***","","***",""
"008","人口【人】","000","男女計","01000","北海道","","5351828","","***","","***","","***","","***","","***","","-28613","","-3133","","***","","-31746","","5320082","","***","","***","","***","","***","","5327117","","***","","***","","***","","***","","***","","-28697","","-6788","","40","","-35445","","5291672","","***","","***","","***","","***",""
"008","人口【人】","000","男女計","02000","青森県","","1293470","","***","","***","","***","","***","","***","","-9406","","-5574","","***","","-14980","","1278490","","***","","***","","***","","***","","1289569","","***","","***","","***","","***","","***","","-9412","","-6178","","16","","-15574","","1273995","","***","","***","","***","","***",""
"008","人口【人】","000","男女計","03000","岩手県","","1267993","","***","","***","","***","","***","","***","","-9136","","-4010","","***","","-13146","","1254847","","***","","***","","***","","***","","1262580","","***","","***","","***","","***","","***","","-9151","","-4403","","15","","-13539","","1249041","","***","","***","","***","","***",""
"008","人口【人】","000","男女計","04000","宮城県","","2330120","","***","","***","","***","","***","","***","","-7087","","292","","***","","-6795","","2323325","","***","","***","","***","","***","","2313581","","***","","***","","***","","***","","***","","-7170","","-1337","","82","","-8425","","2305156","","***","","***","","***","","***",""
"008","人口【人】","000","男女計","05000","秋田県","","1009806","","***","","***","","***","","***","","***","","-10048","","-4109","","***","","-14157","","995649","","***","","***","","***","","***","","1006788","","***","","***","","***","","***","","***","","-10052","","-4332","","16","","-14368","","992420","","***","","***","","***","","***",""
"008","人口【人】","000","男女計","06000","山形県","","1113109","","***","","***","","***","","***","","***","","-8096","","-3314","","***","","-11410","","1101699","","***","","***","","***","","***","","1107302","","***","","***","","***","","***","","***","","-8104","","-3838","","26","","-11916","","1095386","","***","","***","","***","","***",""
"008","人口【人】","000","男女計","07000","福島県","","1900760","","***","","***","","***","","***","","***","","-11492","","-6968","","***","","-18460","","1882300","","***","","***","","***","","***","","1890655","","***","","***","","***","","***","","***","","-11513","","-8108","","24","","-19597","","1871058","","***","","***","","***","","***",""
"008","人口【人】","000","男女計","08000","茨城県","","2904590","","***","","***","","***","","***","","***","","-11292","","-1097","","***","","-12389","","2892201","","***","","***","","***","","***","","2861456","","***","","***","","***","","***","","***","","-11615","","-3046","","123","","-14538","","2846918","","***","","***","","***","","***",""
"008","人口【人】","000","男女計","09000","栃木県","","1966032","","***","","***","","***","","***","","***","","-7396","","-1726","","***","","-9122","","1956910","","***","","***","","***","","***","","1938699","","***","","***","","***","","***","","***","","-7634","","-1433","","53","","-9014","","1929685","","***","","***","","***","","***",""
"008","人口【人】","000","男女計","10000","群馬県","","1967292","","***","","***","","***","","***","","***","","-8991","","1530","","***","","-7461","","1959831","","***","","***","","***","","***","","1925840","","***","","***","","***","","***","","***","","-9407","","-3219","","170","","-12456","","1913384","","***","","***","","***","","***",""
