"","","","","","","","","","30001","","30006","","30007","","30009","","30011","","30013","","30015","","30017","","30018","","30022","","30023","","30027","","30028","","30031","","30032","","30034","","30035","","30037","","30038","","30040","","31002","","31003","","31004","","31005","","31006","","31007","","31008","","31009","","31010","","31011","","04004","","04006","","04012","","04018","","04021","","04026","","04024",""
"2009世帯区分 コード","2009世帯区分","2009地域 コード","2009地域","時間軸(年次) コード","時間軸(年次)","2009貯蓄・負債項目 コード","2009貯蓄・負債項目","/2009-80世帯属性等","平均","注釈","年間収入　200万円未満","注釈","年間収入　200万円以上250万円未満","注釈","年間収入　250万円以上300万円未満","注釈","年間収入　300万円以上350万円未満","注釈","年間収入　350万円以上400万円未満","注釈","年間収入　400万円以上450万円未満","注釈","年間収入　450万円以上500万円未満","注釈","年間収入　500万円以上550万円未満","注釈","年間収入　550万円以上600万円未満","注釈","年間収入　600万円以上650万円未満","注釈","年間収入　650万円以上700万円未満","注釈","年間収入　700万円以上750万円未満","注釈","年間収入　750万円以上800万円未満","注釈","年間収入　800万円以上900万円未満","注釈","年間収入　900万円以上1000万円未満","注釈","年間収入　1000万円以上1250万円未満","注釈","年間収入　1250万円以上1500万円未満","注釈","年間収入　1500万円以上2000万円未満","注釈","年間収入　2000万円以上","注釈","年収十分位1","注釈","年収十分位2","注釈","年収十分位3","注釈","年収十分位4","注釈","年収十分位5","注釈","年収十分位6","注釈","年収十分位7","注釈","年収十分位8","注釈","年収十分位9","注釈","年収十分位10","注釈","世帯主　30歳未満","注釈","世帯主　30～39歳","注釈","世帯主　40～49歳","注釈","世帯主　50～59歳","注釈","世帯主　60～69歳","注釈","世帯主　70歳以上","注釈","世帯主　65歳以上","注釈"
"07005","総世帯","00000","全国","2009000000","2009年","C0010","集計世帯数","","52,128","","3,472","","2,284","","2,775","","3,741","","3,954","","3,719","","3,365","","3,198","","2,733","","2,832","","2,302","","2,170","","1,902","","3,270","","2,312","","3,601","","1,641","","1,117","","529","","2,739","","3,340","","4,442","","5,242","","5,392","","5,638","","5,984","","5,975","","6,012","","6,153","","1,410","","7,567","","9,389","","11,052","","12,733","","9,977","","16,076",""
"07005","総世帯","00000","全国","2009000000","2009年","C0011","世帯数分布（抽出率調整）","","50,011,071","","6,004,884","","3,215,842","","3,333,830","","3,718,961","","3,654,888","","3,426,396","","2,990,613","","2,696,425","","2,146,828","","2,396,283","","1,866,456","","1,717,851","","1,600,854","","2,657,383","","1,897,082","","2,896,988","","1,312,753","","860,060","","439,084","","4,883,346","","4,883,346","","4,883,346","","4,883,346","","4,883,346","","4,883,346","","4,883,346","","4,883,346","","4,883,346","","4,883,346","","2,779,465","","7,353,327","","8,080,165","","9,368,142","","11,638,177","","10,791,795","","16,536,607",""
"07005","総世帯","00000","全国","2009000000","2009年","C0012","世帯数分布(抽出率調整)(１万分比)","","10,000","","1,201","","643","","667","","744","","731","","685","","598","","539","","429","","479","","373","","343","","320","","531","","379","","579","","262","","172","","88","","976","","976","","976","","976","","976","","976","","976","","976","","976","","976","","556","","1,470","","1,616","","1,873","","2,327","","2,158","","3,307",""
"07005","総世帯","00000","全国","2009000000","2009年","C0013","世帯人員（人）","","2.48","","1.37","","1.57","","1.76","","2.07","","2.26","","2.38","","2.54","","2.72","","2.94","","2.93","","3.03","","3.17","","3.02","","3.18","","3.26","","3.35","","3.56","","3.55","","3.46","","1.35","","1.55","","1.89","","2.23","","2.41","","2.65","","2.95","","3.07","","3.23","","3.47","","1.60","","2.86","","3.29","","2.84","","2.21","","1.81","","1.91",""
"07005","総世帯","00000","全国","2009000000","2009年","C0014","18歳未満人員（人）","","0.44","","0.10","","0.14","","0.16","","0.27","","0.32","","0.43","","0.52","","0.63","","0.68","","0.73","","0.71","","0.81","","0.68","","0.69","","0.70","","0.63","","0.60","","0.52","","0.46","","0.09","","0.13","","0.21","","0.30","","0.45","","0.59","","0.70","","0.73","","0.69","","0.58","","0.28","","1.10","","1.21","","0.28","","0.06","","0.03","","0.04",""
"07005","総世帯","00000","全国","2009000000","2009年","C0015","65歳以上人員（人）","","0.58","","0.62","","0.70","","0.75","","0.77","","0.80","","0.65","","0.58","","0.48","","0.50","","0.40","","0.45","","0.39","","0.39","","0.39","","0.41","","0.44","","0.47","","0.56","","0.67","","0.59","","0.69","","0.75","","0.82","","0.65","","0.51","","0.46","","0.39","","0.41","","0.50","","0.01","","0.04","","0.17","","0.23","","0.75","","1.53","","1.47",""
"07005","総世帯","00000","全国","2009000000","2009年","C0016","65歳以上のうち無職者人員（人）","","0.45","","0.54","","0.61","","0.66","","0.67","","0.69","","0.51","","0.44","","0.36","","0.36","","0.30","","0.29","","0.27","","0.27","","0.26","","0.26","","0.29","","0.30","","0.33","","0.29","","0.52","","0.60","","0.66","","0.71","","0.51","","0.38","","0.32","","0.27","","0.27","","0.30","","0.01","","0.04","","0.13","","0.21","","0.51","","1.24","","1.12",""
"07005","総世帯","00000","全国","2009000000","2009年","C0017","有業人員（人）","","1.18","","0.42","","0.58","","0.67","","0.80","","0.90","","1.07","","1.19","","1.28","","1.42","","1.44","","1.55","","1.57","","1.62","","1.71","","1.79","","1.92","","2.14","","2.20","","2.28","","0.41","","0.57","","0.71","","0.86","","1.08","","1.26","","1.44","","1.58","","1.75","","2.09","","1.12","","1.31","","1.51","","1.76","","1.09","","0.44","","0.59",""
"07005","総世帯","00000","全国","2009000000","2009年","C0018","持ち家率(現住居)（％）","","72.4","","60.1","","63.1","","63.5","","66.1","","72.2","","67.9","","68.5","","73.0","","74.6","","74.1","","80.1","","79.3","","76.1","","82.9","","83.0","","84.8","","90.4","","92.2","","95.9","","58.8","","62.2","","64.6","","71.7","","68.5","","70.4","","75.5","","78.6","","82.9","","89.4","","9.8","","46.4","","69.5","","81.3","","85.5","","86.5","","86.2",""
"07005","総世帯","00000","全国","2009000000","2009年","C0019","年間収入（千円）","","5,608","","1,316","","2,243","","2,732","","3,221","","3,731","","4,207","","4,726","","5,210","","5,717","","6,203","","6,717","","7,213","","7,705","","8,432","","9,436","","11,027","","13,574","","16,898","","28,312","","1,185","","2,192","","2,917","","3,593","","4,264","","5,071","","6,068","","7,315","","9,061","","14,419","","3,538","","5,420","","7,146","","7,709","","5,052","","3,884","","4,181",""
