"性別 コード","性別","時間軸（年次） コード","時間軸（年次）","年齢区分（簡易生命表） コード","年齢区分（簡易生命表）","/表章項目","生存数(lx)【人】","死亡数(ndx)【人】","死亡率(nqx)","平均余命(ex)","定常人口(nLx)","定常人口(Tx)"
"10","男","2017000000","2017年","100000","0週","","100000","72","0.00072","81.09","1917","8109161"
"10","男","2017000000","2017年","100001","1週","","99928","10","0.00010","81.13","1916","8107244"
"10","男","2017000000","2017年","100002","2週","","99918","8","0.00008","81.12","1916","8105328"
"10","男","2017000000","2017年","100003","3週","","99911","6","0.00006","81.11","1916","8103412"
"10","男","2017000000","2017年","100004","4週","","99905","21","0.00021","81.09","8986","8101496"
"10","男","2017000000","2017年","200020","2月","","99884","13","0.00013","81.02","8323","8092510"
"10","男","2017000000","2017年","200030","3月","","99871","30","0.00030","80.95","24964","8084187"
"10","男","2017000000","2017年","200060","6月","","99841","32","0.00032","80.72","49911","8059223"
"10","男","2017000000","2017年","300000","0年","","100000","191","0.00191","81.09","99850","8109161"
"10","男","2017000000","2017年","300100","1年","","99809","31","0.00031","80.25","99794","8009312"
"10","男","2017000000","2017年","300200","2年","","99779","21","0.00021","79.27","99768","7909518"
"10","男","2017000000","2017年","300300","3年","","99758","13","0.00013","78.29","99751","7809750"
"10","男","2017000000","2017年","300400","4年","","99745","10","0.00010","77.30","99740","7709999"
"10","男","2017000000","2017年","300500","5年","","99735","8","0.00008","76.30","99731","7610260"
"10","男","2017000000","2017年","300600","6年","","99727","8","0.00008","75.31","99723","7510529"
"10","男","2017000000","2017年","300700","7年","","99719","8","0.00008","74.32","99715","7410806"
"10","男","2017000000","2017年","300800","8年","","99711","7","0.00007","73.32","99707","7311091"
"10","男","2017000000","2017年","300900","9年","","99704","7","0.00007","72.33","99700","7211384"
"10","男","2017000000","2017年","301000","10年","","99697","7","0.00007","71.33","99693","7111684"
"10","男","2017000000","2017年","301100","11年","","99689","8","0.00008","70.34","99685","7011991"
"10","男","2017000000","2017年","301200","12年","","99681","9","0.00009","69.34","99677","6912305"
"10","男","2017000000","2017年","301300","13年","","99672","11","0.00011","68.35","99667","6812628"
"10","男","2017000000","2017年","301400","14年","","99661","14","0.00014","67.36","99654","6712962"
"10","男","2017000000","2017年","301500","15年","","99647","17","0.00017","66.37","99639","6613308"
"10","男","2017000000","2017年","301600","16年","","99630","21","0.00021","65.38","99620","6513669"
"10","男","2017000000","2017年","301700","17年","","99609","26","0.00026","64.39","99596","6414049"
"10","男","2017000000","2017年","301800","18年","","99582","32","0.00032","63.41","99567","6314453"
"10","男","2017000000","2017年","301900","19年","","99550","37","0.00038","62.43","99532","6214886"
"10","男","2017000000","2017年","302000","20年","","99513","42","0.00042","61.45","99492","6115354"
"10","男","2017000000","2017年","302100","21年","","99471","46","0.00046","60.48","99448","6015862"
"10","男","2017000000","2017年","302200","22年","","99425","49","0.00049","59.51","99401","5916414"
"10","男","2017000000","2017年","302300","23年","","99376","50","0.00051","58.54","99351","5817013"
"10","男","2017000000","2017年","302400","24年","","99326","50","0.00051","57.56","99301","5717662"
"10","男","2017000000","2017年","302500","25年","","99275","50","0.00050","56.59","99250","5618361"
"10","男","2017000000","2017年","302600","26年","","99226","49","0.00050","55.62","99201","5519111"
"10","男","2017000000","2017年","302700","27年","","99177","49","0.00050","54.65","99152","5419910"
"10","男","2017000000","2017年","302800","28年","","99127","50","0.00051","53.68","99102","5320758"
"10","男","2017000000","2017年","302900","29年","","99077","52","0.00053","52.70","99051","5221655"
"10","男","2017000000","2017年","303000","30年","","99025","55","0.00055","51.73","98997","5122604"
"10","男","2017000000","2017年","303100","31年","","98970","58","0.00058","50.76","98941","5023607"
"10","男","2017000000","2017年","303200","32年","","98912","60","0.00061","49.79","98882","4924666"
"10","男","2017000000","2017年","303300","33年","","98852","63","0.00063","48.82","98821","4825783"
"10","男","2017000000","2017年","303400","34年","","98789","65","0.00066","47.85","98757","4726962"
"10","男","2017000000","2017年","303500","35年","","98725","67","0.00068","46.88","98691","4628205"
"10","男","2017000000","2017年","303600","36年","","98657","71","0.00072","45.91","98622","4529514"
"10","男","2017000000","2017年","303700","37年","","98586","76","0.00077","44.94","98549","4430892"
"10","男","2017000000","2017年","303800","38年","","98511","82","0.00083","43.98","98470","4332343"
"10","男","2017000000","2017年","303900","39年","","98429","89","0.00091","43.01","98385","4233872"
"10","男","2017000000","2017年","304000","40年","","98340","97","0.00099","42.05","98292","4135487"
"10","男","2017000000","2017年","304100","41年","","98243","104","0.00106","41.09","98191","4037195"
"10","男","2017000000","2017年","304200","42年","","98139","112","0.00114","40.14","98083","3939004"
"10","男","2017000000","2017年","304300","43年","","98027","122","0.00124","39.18","97967","3840921"
"10","男","2017000000","2017年","304400","44年","","97905","134","0.00137","38.23","97839","3742954"
"10","男","2017000000","2017年","304500","45年","","97771","148","0.00152","37.28","97698","3645115"
"10","男","2017000000","2017年","304600","46年","","97623","165","0.00169","36.34","97542","3547417"
"10","男","2017000000","2017年","304700","47年","","97458","183","0.00188","35.40","97367","3449875"
"10","男","2017000000","2017年","304800","48年","","97274","203","0.00209","34.46","97174","3352508"
"10","男","2017000000","2017年","304900","49年","","97071","224","0.00231","33.54","96960","3255334"
"10","男","2017000000","2017年","305000","50年","","96846","246","0.00254","32.61","96725","3158373"
"10","男","2017000000","2017年","305100","51年","","96600","268","0.00278","31.69","96468","3061649"
"10","男","2017000000","2017年","305200","52年","","96332","294","0.00305","30.78","96187","2965181"
"10","男","2017000000","2017年","305300","53年","","96038","324","0.00337","29.87","95879","2868994"
"10","男","2017000000","2017年","305400","54年","","95714","357","0.00373","28.97","95538","2773115"
"10","男","2017000000","2017年","305500","55年","","95357","391","0.00410","28.08","95164","2677576"
"10","男","2017000000","2017年","305600","56年","","94966","425","0.00447","27.19","94757","2582412"
"10","男","2017000000","2017年","305700","57年","","94541","461","0.00487","26.31","94314","2487656"
"10","男","2017000000","2017年","305800","58年","","94080","502","0.00533","25.44","93833","2393342"
"10","男","2017000000","2017年","305900","59年","","93579","549","0.00587","24.57","93308","2299508"
"10","男","2017000000","2017年","306000","60年","","93030","601","0.00646","23.72","92734","2206200"
"10","男","2017000000","2017年","306100","61年","","92428","659","0.00713","22.87","92104","2113467"
"10","男","2017000000","2017年","306200","62年","","91769","722","0.00787","22.03","91413","2021363"
"10","男","2017000000","2017年","306300","63年","","91047","792","0.00870","21.20","90657","1929950"
"10","男","2017000000","2017年","306400","64年","","90255","872","0.00966","20.38","89826","1839293"
"10","男","2017000000","2017年","306500","65年","","89383","958","0.01072","19.57","88911","1749467"
"10","男","2017000000","2017年","306600","66年","","88424","1052","0.01189","18.78","87907","1660556"
"10","男","2017000000","2017年","306700","67年","","87373","1147","0.01312","18.00","86807","1572650"
"10","男","2017000000","2017年","306800","68年","","86226","1239","0.01437","17.23","85614","1485842"
"10","男","2017000000","2017年","306900","69年","","84987","1331","0.01566","16.48","84330","1400228"
"10","男","2017000000","2017年","307000","70年","","83657","1433","0.01713","15.73","82949","1315898"
"10","男","2017000000","2017年","307100","71年","","82223","1546","0.01880","15.00","81460","1232949"
"10","男","2017000000","2017年","307200","72年","","80678","1663","0.02062","14.27","79856","1151489"
"10","男","2017000000","2017年","307300","73年","","79014","1783","0.02256","13.56","78133","1071633"
"10","男","2017000000","2017年","307400","74年","","77232","1905","0.02467","12.86","76289","993500"
"10","男","2017000000","2017年","307500","75年","","75326","2026","0.02690","12.18","74324","917211"
"10","男","2017000000","2017年","307600","76年","","73300","2167","0.02956","11.50","72229","842887"
"10","男","2017000000","2017年","307700","77年","","71133","2333","0.03280","10.83","69981","770658"
"10","男","2017000000","2017年","307800","78年","","68800","2532","0.03680","10.18","67551","700677"
"10","男","2017000000","2017年","307900","79年","","66268","2750","0.04151","9.55","64911","633125"
"10","男","2017000000","2017年","308000","80年","","63517","2973","0.04681","8.95","62050","568214"
"10","男","2017000000","2017年","308100","81年","","60544","3195","0.05277","8.36","58965","506164"
"10","男","2017000000","2017年","308200","82年","","57349","3414","0.05954","7.80","55660","447199"
"10","男","2017000000","2017年","308300","83年","","53935","3630","0.06730","7.26","52138","391538"
"10","男","2017000000","2017年","308400","84年","","50305","3827","0.07607","6.75","48407","339401"
"10","男","2017000000","2017年","308500","85年","","46479","4000","0.08606","6.26","44492","290994"
"10","男","2017000000","2017年","308600","86年","","42479","4133","0.09729","5.80","40421","246502"
"10","男","2017000000","2017年","308700","87年","","38346","4200","0.10953","5.37","36249","206081"
"10","男","2017000000","2017年","308800","88年","","34146","4194","0.12282","4.97","32045","169832"
"10","男","2017000000","2017年","308900","89年","","29952","4104","0.13703","4.60","27889","137787"
"10","男","2017000000","2017年","309000","90年","","25848","3916","0.15151","4.25","23871","109899"
"10","男","2017000000","2017年","309100","91年","","21932","3681","0.16786","3.92","20069","86028"
